created_at,username,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,tweet_url
Wed Dec 21 06:00:56 +0000 2022,halaucovid,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/PFYfVrKCyQ,0,0,0,0,in,1564467295002705920,1605443180409028608,https://x.com/halaucovid/status/1605443180409028608
Wed Dec 21 06:00:43 +0000 2022,sebhayu,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/fO347o5RFN,0,0,0,0,in,1395930975549280259,1605443124687421444,https://x.com/sebhayu/status/1605443124687421444
Tue Dec 20 15:53:21 +0000 2022,Poerna9,@NasDem Percayalah 1. @aniesbaswedan adalah antitesa @jokowi 2. Pemerintahan @jokowi anti kritik itu kata @aniesbaswedan 3. Pemerintahan @jokowi d cemoh ibunya @aniesbaswedan krn mementingkan IKN dan infrastuktur. 4. Para pendukung @aniesbaswedan sebagian besar pembenci @jokowi,0,0,0,0,in,910739488585818117,1604323676156874752,https://x.com/Poerna9/status/1605229880240586753
Tue Dec 20 06:05:26 +0000 2022,sebhayu,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/xc3gFZX3fZ,0,0,0,0,in,1395930975549280259,1605081924288106496,https://x.com/sebhayu/status/1605081924288106496
Tue Dec 20 06:05:20 +0000 2022,halaucovid,Pemerintah kebut pengembangan infrastuktur hunian di IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/wpsbDfxfiE,0,0,0,0,in,1564467295002705920,1605081899197779968,https://x.com/halaucovid/status/1605081899197779968
Mon Dec 19 06:36:09 +0000 2022,gerbang_utama,IKN Nusantara punya potensi kembangkan infrastuktur #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/AZskdGKbkv,0,1,0,0,in,3896382861,1604727268311695361,https://x.com/gerbang_utama/status/1604727268311695361
Thu Nov 17 05:54:51 +0000 2022,Nusatmr,konsep green infrastuktur dalam pembangunan ikn nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/WyBtS6tEul,0,1,0,0,in,1562747141071990787,1593120461659213824,https://x.com/Nusatmr/status/1593120461659213824
Thu Nov 17 05:08:57 +0000 2022,gerbang_utama,IKN Nusantara sebagai kunci pengembangan infrastuktur bagi Indonesia! #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia https://t.co/Uv7wa6ez0t,0,0,0,0,in,3896382861,1593108911695220736,https://x.com/gerbang_utama/status/1593108911695220736
Mon Nov 14 10:36:15 +0000 2022,daeng_embang,Kata bu sry mulyani dlm presidensi G20 Indonesia masih membutuhkan investasi di bidang infrastuktur hijau &amp; energi hijau yy cukup besar Aneh butuh investasi energi hijau tp scr bersamaan bangun IKN. tentu byk alam rusak. Apalagi keputusan sudah dibuat sebelum AMDAl(Jokowi).,0,0,0,0,in,1450771917393170434,1592104113646768128,https://x.com/daeng_embang/status/1592104113646768128
Sat Nov 12 13:46:53 +0000 2022,Itorhs,@MrsRachelIn @NasDem @ganjarpranowo Jokowi tdk akan mendukung Anies sebagai antitesanya Jokowi yang dicapreskan Koalisi Perubahan (Nasdem Demokrat &amp; PKS) koalisi yg akan MERUBAH kebijakan Jokowi sebelumnya termasuk proyek pembangunan IKN infrastuktur dan pembubaran HTI dan FPI.,0,0,0,0,in,2427025783,1591302558928470018,https://x.com/Itorhs/status/1591427312113025028
Sat Nov 12 05:36:01 +0000 2022,gerbang_utama,Pembangunan IKN Nusantara untuk majukan kualitas SDM dan pembangunan infrastuktur! #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/USjv1lQCbj,1,0,0,0,in,3896382861,1591303781844934657,https://x.com/gerbang_utama/status/1591303781844934657
Thu Nov 10 05:08:10 +0000 2022,sushiitr4shh,Mantap! Presiden Jokowi mulai bangun infrastuktur hunian di IKN Nusantara! Jambi #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara https://t.co/Jx99Rflo3Q,0,0,0,0,in,1356621933152899072,1590571999088504833,https://x.com/sushiitr4shh/status/1590571999088504833
